asn_country,date,asn_count,foreign_neighbour_count,local_neighbour_count,total_neighbour_count,foreign_neighbours_share
AM,2019-01-07,69,121,186,307,0.3941368078175896
AM,2019-01-14,69,122,186,308,0.3961038961038961
AM,2019-01-21,69,125,186,311,0.40192926045016075
AM,2019-01-28,69,126,184,310,0.4064516129032258
AM,2019-02-04,68,133,184,317,0.4195583596214511
AM,2019-02-11,69,139,186,325,0.4276923076923077
AM,2019-02-18,69,140,188,328,0.4268292682926829
AM,2019-02-25,69,137,190,327,0.41896024464831805
AM,2019-03-04,68,135,186,321,0.4205607476635514
AM,2019-03-11,68,136,190,326,0.4171779141104294
AM,2019-03-18,68,137,190,327,0.41896024464831805
AM,2019-03-25,68,132,188,320,0.4125
AM,2019-04-01,68,138,194,332,0.41566265060240964
AM,2019-04-08,68,135,188,323,0.4179566563467492
AM,2019-04-15,68,137,190,327,0.41896024464831805
AM,2019-04-22,69,136,192,328,0.4146341463414634
AM,2019-04-29,69,138,194,332,0.41566265060240964
AM,2019-05-06,69,134,190,324,0.41358024691358025
AM,2019-05-13,69,129,192,321,0.40186915887850466
AM,2019-05-20,70,124,198,322,0.38509316770186336
AM,2019-05-27,70,125,198,323,0.38699690402476783
AM,2019-06-03,70,125,202,327,0.382262996941896
AM,2019-06-10,69,123,190,313,0.3929712460063898
AM,2019-06-17,70,130,206,336,0.3869047619047619
AM,2019-06-24,70,127,202,329,0.3860182370820669
AM,2019-07-01,70,125,196,321,0.3894080996884735
AM,2019-07-08,70,101,190,291,0.3470790378006873
AM,2019-07-15,70,116,190,306,0.3790849673202614
AM,2019-07-22,71,122,194,316,0.3860759493670886
AM,2019-07-29,71,117,188,305,0.3836065573770492
AM,2019-08-05,71,120,192,312,0.38461538461538464
AM,2019-08-12,71,119,190,309,0.3851132686084142
AM,2019-08-19,72,119,188,307,0.38762214983713356
AM,2019-08-26,72,126,188,314,0.4012738853503185
AM,2019-09-02,73,132,202,334,0.39520958083832336
AM,2019-09-09,73,130,196,326,0.3987730061349693
AM,2019-09-16,73,129,200,329,0.39209726443769
AM,2019-09-23,73,130,198,328,0.39634146341463417
AM,2019-09-30,73,129,198,327,0.3944954128440367
AM,2019-10-07,73,133,198,331,0.40181268882175225
AM,2019-10-14,73,136,200,336,0.40476190476190477
AM,2019-10-21,73,129,196,325,0.39692307692307693
AM,2019-10-28,75,132,208,340,0.38823529411764707
AM,2019-11-04,76,130,210,340,0.38235294117647056
AM,2019-11-11,76,135,206,341,0.39589442815249265
AM,2019-11-18,76,134,210,344,0.38953488372093026
AM,2019-11-25,77,132,212,344,0.38372093023255816
AM,2019-12-02,77,136,214,350,0.38857142857142857
AM,2019-12-09,78,134,218,352,0.3806818181818182
AM,2019-12-16,79,136,214,350,0.38857142857142857
AM,2019-12-23,79,141,214,355,0.3971830985915493
AM,2019-12-30,79,142,218,360,0.39444444444444443
AM,2020-01-06,79,140,224,364,0.38461538461538464
AM,2020-01-13,79,140,218,358,0.39106145251396646
AM,2020-01-20,79,144,218,362,0.39779005524861877
AM,2020-01-27,79,147,214,361,0.407202216066482
AM,2020-02-03,79,151,212,363,0.41597796143250687
AM,2020-02-10,81,149,220,369,0.4037940379403794
AM,2020-02-17,80,148,214,362,0.4088397790055249
AM,2020-02-24,80,152,212,364,0.4175824175824176
AM,2020-03-02,80,143,212,355,0.4028169014084507
AM,2020-03-09,80,139,218,357,0.38935574229691877
AM,2020-03-16,80,149,220,369,0.4037940379403794
AM,2020-03-23,80,157,220,377,0.41644562334217505
AM,2020-03-30,80,156,212,368,0.42391304347826086
AM,2020-04-06,80,153,202,355,0.4309859154929577
AM,2020-04-13,80,158,208,366,0.43169398907103823
AM,2020-04-20,82,165,218,383,0.4308093994778068
AM,2020-04-27,80,158,214,372,0.42473118279569894
AM,2020-05-04,81,157,214,371,0.42318059299191374
AM,2020-05-11,80,155,220,375,0.41333333333333333
AM,2020-05-18,80,158,220,378,0.41798941798941797
AM,2020-05-25,80,153,218,371,0.4123989218328841
AM,2020-06-01,80,147,220,367,0.40054495912806537
AM,2020-06-08,80,152,220,372,0.40860215053763443
AM,2020-06-15,80,153,222,375,0.408
AM,2020-06-22,79,161,214,375,0.42933333333333334
AM,2020-06-29,79,160,220,380,0.42105263157894735
AM,2020-07-06,80,159,216,375,0.424
AM,2020-07-13,80,164,208,372,0.44086021505376344
AM,2020-07-20,80,154,210,364,0.4230769230769231
AM,2020-07-27,80,162,218,380,0.4263157894736842
AM,2020-08-03,80,168,216,384,0.4375
AM,2020-08-10,80,166,220,386,0.43005181347150256
AM,2020-08-17,80,161,220,381,0.4225721784776903
AM,2020-08-24,80,162,224,386,0.41968911917098445
AM,2020-08-31,81,160,222,382,0.418848167539267
AM,2020-09-07,81,158,232,390,0.40512820512820513
AM,2020-09-14,81,162,222,384,0.421875
AM,2020-09-21,81,158,226,384,0.4114583333333333
AM,2020-09-28,81,158,234,392,0.4030612244897959
AM,2020-10-05,81,156,232,388,0.4020618556701031
AM,2020-10-12,81,155,232,387,0.4005167958656331
AM,2020-10-19,81,158,236,394,0.4010152284263959
AM,2020-10-26,81,171,230,401,0.42643391521197005
AM,2020-11-02,81,173,232,405,0.4271604938271605
AM,2020-11-09,83,181,230,411,0.44038929440389296
AM,2020-11-16,82,174,230,404,0.4306930693069307
AM,2020-11-23,81,171,228,399,0.42857142857142855
AM,2020-11-30,81,181,232,413,0.43825665859564167
AM,2020-12-07,81,175,230,405,0.43209876543209874
AM,2020-12-14,82,172,232,404,0.42574257425742573
AM,2020-12-21,84,173,232,405,0.4271604938271605
AM,2020-12-28,85,183,234,417,0.43884892086330934
AM,2021-01-04,85,173,240,413,0.4188861985472155
AM,2021-01-11,85,173,236,409,0.4229828850855746
