asn_country,neighbour_country,neighbours_count
AM,AM,96504
AM,AZ,593
AM,BY,574
AM,CZ,3408
AM,EE,1281
AM,GE,1039
AM,KG,482
AM,KZ,1604
AM,LT,2557
AM,LV,1121
AM,MD,1046
AM,MN,242
AM,PL,7716
AM,RU,109312
AM,TJ,29
AM,UA,9466
AM,UNKNOWN,348387
AM,UZ,138
AZ,AM,593
AZ,AZ,50095
AZ,BY,7
AZ,CZ,619
AZ,GE,1615
AZ,KG,13
AZ,KZ,103
AZ,LT,404
AZ,PL,1114
AZ,RU,5597
AZ,TM,476
AZ,UA,301
AZ,UNKNOWN,49529
BY,AM,574
BY,AZ,7
BY,BY,93849
BY,CZ,859
BY,EE,5
BY,KZ,226
BY,LT,735
BY,LV,999
BY,PL,1757
BY,RU,7975
BY,UA,536
BY,UNKNOWN,42200
CZ,AM,2946
CZ,AZ,476
CZ,BY,706
CZ,CZ,537063
CZ,EE,1395
CZ,GE,786
CZ,KG,411
CZ,KZ,281
CZ,LT,21576
CZ,LV,1328
CZ,MD,1123
CZ,MN,253
CZ,PL,60288
CZ,RU,42471
CZ,UA,8228
CZ,UNKNOWN,874852
EE,AM,1004
EE,AZ,4
EE,BY,5
EE,CZ,964
EE,EE,76742
EE,GE,3
EE,KZ,619
EE,LT,3939
EE,LV,2099
EE,MD,13
EE,PL,1857
EE,RU,13719
EE,UA,2802
EE,UNKNOWN,101328
GE,AM,1039
GE,AZ,1615
GE,CZ,1146
GE,EE,3
GE,GE,112731
GE,KG,61
GE,KZ,70
GE,LT,484
GE,LV,20
GE,PL,948
GE,RU,5838
GE,UA,1178
GE,UNKNOWN,37573
KG,AM,482
KG,AZ,13
KG,CZ,710
KG,GE,61
KG,KG,46696
KG,KZ,3579
KG,LT,128
KG,MN,3
KG,PL,514
KG,RU,4674
KG,TJ,305
KG,UA,75
KG,UNKNOWN,8665
KG,UZ,351
KZ,AM,1450
KZ,AZ,103
KZ,BY,226
KZ,CZ,420
KZ,EE,756
KZ,GE,69
KZ,KG,3187
KZ,KZ,180724
KZ,LT,823
KZ,LV,165
KZ,MD,147
KZ,MN,23
KZ,PL,1187
KZ,RU,65098
KZ,TJ,212
KZ,TM,54
KZ,UA,2396
KZ,UNKNOWN,37059
KZ,UZ,519
LT,AM,2542
LT,AZ,401
LT,BY,758
LT,CZ,23047
LT,EE,4498
LT,GE,484
LT,KG,128
LT,KZ,863
LT,LT,138426
LT,LV,13432
LT,MD,2030
LT,MN,121
LT,PL,49326
LT,RU,100065
LT,TJ,10
LT,UA,36960
LT,UNKNOWN,388668
LT,UZ,30
LV,AM,1021
LV,BY,991
LV,CZ,1564
LV,EE,2442
LV,GE,20
LV,KZ,165
LV,LT,13665
LV,LV,209810
LV,MD,369
LV,PL,1780
LV,RU,9979
LV,UA,2789
LV,UNKNOWN,94344
MD,AM,1046
MD,CZ,1496
MD,EE,18
MD,KZ,147
MD,LT,1093
MD,LV,369
MD,MD,135496
MD,PL,1600
MD,RU,10129
MD,UA,2266
MD,UNKNOWN,104095
MN,AM,242
MN,CZ,352
MN,KG,3
MN,KZ,23
MN,LT,121
MN,MN,39443
MN,PL,247
MN,RU,2800
MN,UA,13
MN,UNKNOWN,25405
PL,AM,6944
PL,AZ,1122
PL,BY,1689
PL,CZ,61193
PL,EE,3375
PL,GE,905
PL,KG,514
PL,KZ,1250
PL,LT,48628
PL,LV,1706
PL,MD,1368
PL,MN,243
PL,PL,3063926
PL,RU,111163
PL,UA,119408
PL,UNKNOWN,1365993
PL,UZ,107
RU,AM,104521
RU,AZ,5524
RU,BY,7801
RU,CZ,43109
RU,EE,14990
RU,GE,5751
RU,KG,4548
RU,KZ,63786
RU,LT,97448
RU,LV,9912
RU,MD,9062
RU,MN,2688
RU,PL,110201
RU,RU,7226742
RU,TJ,1798
RU,TM,773
RU,UA,113098
RU,UNKNOWN,4278141
RU,UZ,4477
TJ,AM,29
TJ,KG,305
TJ,KZ,206
TJ,LT,10
TJ,RU,1928
TJ,TJ,21460
TJ,UNKNOWN,1318
TJ,UZ,232
TM,AZ,476
TM,KZ,54
TM,RU,773
TM,TM,3500
TM,UNKNOWN,295
TM,UZ,89
UA,AM,9319
UA,AZ,301
UA,BY,585
UA,CZ,9858
UA,EE,3110
UA,GE,1247
UA,KG,85
UA,KZ,2381
UA,LT,36326
UA,LV,2889
UA,MD,2241
UA,MN,13
UA,PL,119189
UA,RU,124010
UA,UA,1837065
UA,UNKNOWN,923320
UZ,AM,138
UZ,KG,342
UZ,KZ,498
UZ,LT,34
UZ,PL,107
UZ,RU,4536
UZ,TJ,232
UZ,TM,89
UZ,UNKNOWN,6416
UZ,UZ,53735
,AM,42
,AZ,26
,BY,20
,CZ,33
,EE,1
,KG,4
,KZ,48
,LT,20
,LV,42
,MD,23
,PL,109
,RU,449
,TJ,20
,UA,141
,UNKNOWN,1186
,UZ,8
